prop_x,prop_y,curves,data_points
Magnetic Field,Magnetic field strength (H),2,84
Temperature,Linewidth,2,41
Magnetic field,magnetoresistance,2,56
Magnetic field strength (H),Specific heat,2,67
Temperature,Ohm,2,87
Magnetic field,magnetization_per_mol,2,65
Dopant Concentration,Seebeck  coefficient,2,22
Temperature,conductivity,2,22
Temperature,Thermo gravimetry,2,138
Temperature,Thermal expansion,2,50
Doping level,Power factor,2,6
Doping level,Seebeck coefficient,2,6
composition x,Carrier mobility,2,11
deposition temperature,log(Electrical resistivity),2,8
diameter,Carrier mobility,2,23
width,Electrical conductivity,2,8
energy,Surface Conductivity,2,132
Carrier concentration,Electrical conductivity0,2,59
--,--,2,2
Annealing Temperature,Conductivity,2,9
1/T^(-1/4),Electrical conductivity,1,11
1000/T,ln(Hall coefficient),1,35
hot-press tenperature,Thermal conductivity,1,6
m,lattice thermal conductance,1,5
magnetic field,Hall effect,1,28
magnetic field,Thermal conductivity,1,15
mol %,Carrier concentration,1,5
mol %,Electrical conductivity,1,5
mol %,Power factor,1,5
mol %,Seebeck coefficient,1,5
mol% F4TCNQ,Electrical conductivity,1,12
mol% F4TCNQ,Seebeck coefficient,1,9
nm,absorbance,1,14
substrate temperature,Electrical resistivity,1,0
substrate temperature,Temperature Coefficient of Resistivity,1,0
thermopower,Carrier concentration,1,11
thickness,rho*d,1,9
thickness,thermopower,1,9
T,Lorenz number,1,0
Carbon fiber loading [vol%],Thermal conductivity,1,0
Carrier concentration,Electrical resistivity,1,4
Wt.% SWCNT,Electrical conductivity,1,4
Wt.% SWCNT,Power factor,1,4
Wt.% SWCNT,Seebeck coefficient,1,4
amount of Ag,Electrical resistivity,1,5
amount of Ag,Power factor,1,5
amount of Ag,Seebeck coefficient,1,5
content,Conductivity,1,0
delta T,Voltage,1,16
diameter,Carrier concentration,1,16
diameter,Hall coefficient,1,7
diameter,Power factor,1,6
diameter,Thermal conductivity,1,4
diameter,ZT,1,4
frequency,Temperture Difference,1,0
Temperature,Seebeck coefficient at 550 K,1,6
Temperature,Specific heat capacity_per g,1,46
Temperature,Surface Conductivity,1,0
Temperature,conductance,1,5
Temperature,hole mobility,1,21
Temperature,latice contribution,1,14
Doping concentration,Electrical resistivity,1,0
Draw ratio,Thermal conductivity,1,10
Electrical conductivity,Thermal conductivity,1,12
Electrical resistivity,Figure of merit Z,1,15
Electrical resistivity,Power factor,1,23
La content,Electrical conductivity,1,4
La content,Power factor,1,4
La content,Seebeck coefficient,1,4
La content,Thermal conductivity,1,4
Lattice thermal conductivity,Temperature,1,6
Temperature,Luminescence lifetime,1,41
Temperature,Normalised PL Integrated Intensity,1,20
GQD (wt%),Thermal diffusivity,1,6
"Gate voltage, Vg",Electrical conductivity,1,16
"Gate voltage, Vg",Power factor,1,16
I/A,Resistance,1,3
GQD (wt%),Specific heat capacity (J/gK),1,6
GQD (wt%),Thermal conductivity,1,5
Temperature,zero-B thermopower,1,25
Temperture Difference,Maximum output power,1,20
Temperture Difference,Open circuit voltage,1,22
Temperture Difference,Seebeck  coefficient,1,22
Temperture Difference,Seebeck coefficient,1,22
Temperture Difference,Short-circuit current,1,20
Temperture Difference,Thermal conductivity,1,10
Carrier concentration,mol %,1,8
Carrier mobility,Carrier concentration,1,0
Creep Strain,thermopower,1,10
DMSO doping percent,Electrical conductivity,1,8
T,Hall mobility,1,0
T^2,Electrical resistivity,1,30
Temperature,Figure of merit Z 1000,1,0
N2 flow ratio,Electrical resistivity,1,6
N2(Ar+N2),N Concentration(mol%),1,6
Nb content,Carrier concentration,1,6
Nb content,Carrier mobility,1,0
No. of BL,Electrical conductivity,1,8
No. of BL,Power factor,1,8
No. of BL,Seebeck coefficient,1,8
PRESSURE,S,1,22
PRESSURE,Thermal conductivity,1,18
T^(-1),Inverse magnetic susceptibility,1,13
T^(-1/3),Electrical resistivity,1,56
T^(-1/4),Electrical conductivity,1,10
T^(1/2),Magnetic susceptibility_per_weight,1,17
T^(3/2),Electrical resistivity,1,48
RGO content (wt.%),Electrical conductivity,1,7
RGO content (wt.%),Power factor,1,7
RGO content (wt.%),Seebeck coefficient,1,7
Solid content (mg/mL),Electrical conductivity,1,4
Solid content (mg/mL),Power factor,1,4
Solid content (mg/mL),Seebeck coefficient,1,4
Solid content (mg/mL),Thickness,1,4
Spherulite size [um],Thermal conductivity,1,3
"Sr concentration, x",Electrical conductivity,1,19
"Sr concentration, x",Power factor,1,18
Temperture Difference,Thermopower,1,24
Temperture Difference,ZT,1,10
Thermal conductivity,Density,1,6
Time (hour),Electrical conductivity,1,5
Time (hour),Power factor,1,5
Time (hour),Seebeck coefficient,1,5
Time Lapse,Conversion voltage,1,20
Vg,Voltage response,1,95
Wavenumber,Difference Absorbance,1,23
C rate,Capacity,1,9
1/T^(-1/2),Electrical resistivity,1,25
1/T,log(sigma),1,18
1/T,Seebeck coefficient,1,11
1/3 Octave Band Freqency,"Sr concentration, x",1,4
μ,Power factor,1,0
